name,GOnTime,GOffTime,GIntensity,ROnTime,ROffTime,RIntensity,BOnTime,BOffTime,BIntensity,PriorityOne,PriorityTwo,PriorityThree
0,0,0,233,0,0,66,7,0,255,G,R,B
1,0,0,233,0,0,76,7,0,255,G,R,B
2,0,0,243,0,0,86,7,0,255,G,R,B
3,0,0,253,0,0,96,7,0,255,G,R,B
4,0,0,233,0,0,106,1,0,255,G,R,B
5,0,0,233,0,0,66,7,0,255,G,R,B
6,0,0,233,0,0,76,7,0,255,G,R,B
7,0,0,243,0,0,86,7,0,255,G,R,B
8,0,0,253,0,0,96,7,0,255,G,R,B
9,0,0,253,0,0,106,10,0,255,G,R,B
,,,,,,,,,,,,
type,startVoltage,voltageThresholdOne,voltageThresholdTwo,stepSize,scanRate,numOfScans,,,,,,
cv,0,1.25,0,0.01,0.1,1,,,,,,
,,,,,,,,,,,,
Pot,,,,,,,,,,,,
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
