name,GOnTime,GOffTime,GIntensity,ROnTime,ROffTime,RIntensity,BOnTime,BOffTime,BIntensity,PriorityOne,PriorityTwo,PriorityThree
0,0,0,50,0,0,50,1,0,255,G,R,B
1,0,0,50,0,0,50,1,0,255,G,R,B
2,0,0,50,0,0,50,1,0,255,G,R,B
10,0,0,50,0,0,50,1,0,200,G,R,B
11,0,0,50,0,0,50,1,0,200,G,R,B
12,0,0,50,0,0,50,1,0,200,G,R,B
20,0,0,50,0,0,50,1,0,150,G,R,B
21,0,0,50,0,0,50,1,0,150,G,R,B
22,0,0,50,0,0,50,1,0,150,G,R,B
30,0,0,50,0,0,50,1,0,100,G,R,B
31,0,0,50,0,0,50,1,0,100,G,R,B
32,0,0,50,0,0,50,1,0,100,G,R,B
40,0,0,50,0,0,50,1,0,50,G,R,B
41,0,0,50,0,0,50,1,0,50,G,R,B
42,0,0,50,0,0,50,1,0,50,G,R,B
,,,,,,,,,,,,
type,startVoltage,voltageThresholdOne,voltageThresholdTwo,stepSize,scanRate,numOfScans,,,,,,
cv,0,1.25,0,0.01,0.1,1,,,,,,
,,,,,,,,,,,,
Pot,,,,,,,,,,,,
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
