name,GOnTime,GOffTime,GIntensity,ROnTime,ROffTime,RIntensity,BOnTime,BOffTime,BIntensity,PriorityOne,PriorityTwo,PriorityThree
0,1,0,255,0,0,0,0,0,0,G,R,B
1,1,0,225,0,0,0,0,0,0,G,R,B
2,1,0,200,0,0,0,0,0,0,G,R,B
3,1,0,175,0,0,0,0,0,0,G,R,B
4,1,0,150,0,0,0,0,0,0,G,R,B
5,1,0,125,0,0,0,0,0,0,G,R,B
6,1,0,100,0,0,0,0,0,0,G,R,B
7,1,0,75,0,0,0,0,0,0,G,R,B
8,1,0,50,0,0,0,0,0,0,G,R,B
9,1,0,1,0,0,0,0,0,0,G,R,B
10,1,0,255,0,0,0,0,0,0,G,R,B
11,1,0,225,0,0,0,0,0,0,G,R,B
12,1,0,200,0,0,0,0,0,0,G,R,B
13,1,0,175,0,0,0,0,0,0,G,R,B
14,1,0,150,0,0,0,0,0,0,G,R,B
15,1,0,125,0,0,0,0,0,0,G,R,B
16,1,0,100,0,0,0,0,0,0,G,R,B
17,1,0,75,0,0,0,0,0,0,G,R,B
18,1,0,50,0,0,0,0,0,0,G,R,B
19,1,0,1,0,0,0,0,0,0,G,R,B
20,1,0,255,0,0,0,0,0,0,G,R,B
21,1,0,225,0,0,0,0,0,0,G,R,B
22,1,0,200,0,0,0,0,0,0,G,R,B
23,1,0,175,0,0,0,0,0,0,G,R,B
24,1,0,150,0,0,0,0,0,0,G,R,B
25,1,0,125,0,0,0,0,0,0,G,R,B
26,1,0,100,0,0,0,0,0,0,G,R,B
27,1,0,75,0,0,0,0,0,0,G,R,B
28,1,0,50,0,0,0,0,0,0,G,R,B
29,1,0,1,0,0,0,0,0,0,G,R,B
30,1,0,255,0,0,0,0,0,0,G,R,B
31,1,0,225,0,0,0,0,0,0,G,R,B
32,1,0,200,0,0,0,0,0,0,G,R,B
33,1,0,175,0,0,0,0,0,0,G,R,B
34,1,0,150,0,0,0,0,0,0,G,R,B
35,1,0,125,0,0,0,0,0,0,G,R,B
36,1,0,100,0,0,0,0,0,0,G,R,B
37,1,0,75,0,0,0,0,0,0,G,R,B
38,1,0,50,0,0,0,0,0,0,G,R,B
39,1,0,1,0,0,0,0,0,0,G,R,B
40,1,0,255,0,0,0,0,0,0,G,R,B
41,1,0,225,0,0,0,0,0,0,G,R,B
42,1,0,200,0,0,0,0,0,0,G,R,B
43,1,0,175,0,0,0,0,0,0,G,R,B
44,1,0,150,0,0,0,0,0,0,G,R,B
45,1,0,125,0,0,0,0,0,0,G,R,B
46,1,0,100,0,0,0,0,0,0,G,R,B
47,1,0,75,0,0,0,0,0,0,G,R,B
48,1,0,50,0,0,0,0,0,0,G,R,B
49,1,0,1,0,0,0,0,0,0,G,R,B
,,,,,,,,,,,,
type,startVoltage,voltageThresholdOne,voltageThresholdTwo,stepSize,scanRate,numOfScans,,,,,,
cv,0,1.25,0,0.01,0.1,1,,,,,,
,,,,,,,,,,,,
Pot,,,,,,,,,,,,
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
