name,GOnTime,GOffTime,GIntensity,ROnTime,ROffTime,RIntensity,BOnTime,BOffTime,BIntensity,PriorityOne,PriorityTwo,PriorityThree
0,0,0,233,5,0,245,7,0,250,G,R,B
1,0,0,233,1,0,245,7,0,240,G,R,B
2,0,0,243,1,0,245,7,0,230,G,R,B
3,0,0,253,4,0,245,7,0,220,G,R,B
4,0,0,233,1,0,245,10,0,210,G,R,B
5,0,0,233,5,0,245,7,0,250,G,R,B
6,0,0,233,1,0,245,7,0,240,G,R,B
7,0,0,243,1,0,245,7,0,230,G,R,B
8,0,0,253,4,0,245,7,0,220,G,R,B
9,0,0,253,3,0,245,10,0,210,G,R,B
,,,,,,,,,,,,
type,startVoltage,voltageThresholdOne,voltageThresholdTwo,stepSize,scanRate,numOfScans,,,,,,
cv,0,1.25,0,0.01,0.1,1,,,,,,
,,,,,,,,,,,,
Pot,,,,,,,,,,,,
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
