X,Y
-0.499962807,-0.009441652
-0.489962578,-0.009269986
-0.48004055,-0.009100709
-0.470041275,-0.008955751
-0.460041046,-0.008828912
-0.450040817,-0.008710656
-0.440040588,-0.008606706
-0.430040359,-0.008496556
-0.420041084,-0.00839499
-0.410040855,-0.008296285
-0.400040627,-0.008202825
-0.390040398,-0.008130822
-0.380040169,-0.008035927
-0.370040894,-0.007937699
-0.360040665,-0.007877617
-0.350040436,-0.007800846
-0.340118408,-0.007722168
-0.330118179,-0.007658272
-0.32011795,-0.007598667
-0.310118675,-0.007527141
-0.300118446,-0.007468967
-0.290118217,-0.007205753
-0.280117989,-0.006993084
-0.27011776,-0.007146983
-0.260118484,-0.007217197
-0.250118256,-0.007171898
-0.240118027,-0.007114677
-0.230117798,-0.007060795
-0.220117569,-0.006994514
-0.210118294,-0.006938724
-0.200196266,-0.006868148
-0.190196037,-0.006814265
-0.180195808,-0.006756568
-0.17019558,-0.006692672
-0.160196304,-0.006624007
-0.150196075,-0.006553912
-0.140195847,-0.006472373
-0.130195618,-0.006376052
-0.120195389,-0.006254935
-0.110196114,-0.006115222
-0.100195885,-0.005904937
-0.090195656,-0.005634093
-0.080195427,-0.005242605
-0.070195198,-0.004690428
-0.060195923,-0.003904595
-0.050273895,-0.002754936
-0.040273666,-0.001133208
-0.030273438,0.001192336
-0.020273209,0.004400034
-0.01027298,0.008783136
-0.000273705,0.014481363
0.009726524,0.021723595
0.019726753,0.030437822
0.029726982,0.040469084
0.039727211,0.05242582
0.049726486,0.066139936
0.059726715,0.079682164
0.069726944,0.096128367
0.079727173,0.11032863
0.0896492,0.127585411
0.099648476,0.14558135
0.109648705,0.16351524
0.119648933,0.179084018
0.129649162,0.194438264
0.139649391,0.212472245
0.149648666,0.230077177
0.159648895,0.242269993
0.169649124,0.253118038
0.179649353,0.262020588
0.189649582,0.270165056
0.199648857,0.265506357
0.209649086,0.263498873
0.219649315,0.251687527
0.229571342,0.239728451
0.239571571,0.227468878
0.249570847,0.215381056
0.259571075,0.206592843
0.269571304,0.198391244
0.279571533,0.190470979
0.289571762,0.183876231
0.299571037,0.177739337
0.309571266,0.17251797
0.319571495,0.167711407
0.329571724,0.163400799
0.339571953,0.159629017
0.349571228,0.15606223
0.359571457,0.152800664
0.369493484,0.149691686
0.379493713,0.146992788
0.389493942,0.144403562
0.399494171,0.141985938
0.409493446,0.139668509
0.419493675,0.137560889
0.429493904,0.135543868
0.439494133,0.133703277
0.449494362,0.131872222
0.459493637,0.130179405
0.469493866,0.128472328
0.479494095,0.127056122
0.489494324,0.125630379
0.499494553,0.124214172
0.489494324,0.122612
0.479494095,0.121191025
0.469493866,0.119860649
0.459493637,0.118573144
0.449494362,0.117328599
0.439494133,0.116198495
0.429493904,0.115030244
0.419493675,0.113938287
0.409493446,0.11287494
0.399494171,0.111844972
0.389493942,0.110900834
0.379493713,0.11000438
0.369493484,0.109112695
0.359571457,0.108263925
0.349571228,0.107381776
0.339571953,0.106485322
0.329571724,0.105641268
0.319571495,0.10481634
0.309571266,0.104110621
0.299571037,0.10317602
0.289571762,0.102360629
0.279571533,0.101569079
0.269571304,0.100591563
0.259571075,0.099552058
0.249570847,0.098488711
0.239571571,0.096905611
0.229571342,0.095618151
0.219649315,0.093443729
0.209649086,0.090644695
0.199648857,0.086868145
0.189649582,0.082853176
0.179649353,0.076406293
0.169649124,0.070779614
0.159648895,0.062377691
0.149648666,0.051472377
0.139649391,0.039537098
0.129649162,0.027444458
0.119648933,0.014421987
0.109648705,-0.001323223
0.099648476,-0.017573882
0.0896492,-0.034687664
0.079727173,-0.052464198
0.069726944,-0.068505049
0.059726715,-0.084164478
0.049726486,-0.100758456
0.039727211,-0.116551355
0.029726982,-0.133069083
0.019726753,-0.14437972
0.009726524,-0.155904874
-0.000273705,-0.166018635
-0.01027298,-0.169494823
-0.020273209,-0.169771388
-0.030273438,-0.165866047
-0.040273666,-0.156462818
-0.050273895,-0.147035703
-0.060195923,-0.13603501
-0.070195198,-0.126426697
-0.080195427,-0.118449166
-0.090195656,-0.1106195
-0.100195885,-0.103624247
-0.110196114,-0.097740076
-0.120195389,-0.092547275
-0.130195618,-0.08790765
-0.140195847,-0.083754398
-0.150196075,-0.080058865
-0.160196304,-0.076606564
-0.17019558,-0.073707394
-0.180195808,-0.070860676
-0.190196037,-0.068233252
-0.200196266,-0.065858603
-0.210118294,-0.063717604
-0.220117569,-0.061671972
-0.230117798,-0.059712172
-0.240118027,-0.057924032
-0.250118256,-0.056245517
-0.260118484,-0.054710101
-0.27011776,-0.053208064
-0.280117989,-0.051825237
-0.290118217,-0.050509166
-0.300118446,-0.049278926
-0.310118675,-0.048101138
-0.32011795,-0.046947192
-0.330118179,-0.045917224
-0.340118408,-0.044882488
-0.350040436,-0.043962192
-0.360040665,-0.043013241
-0.370040894,-0.042178776
-0.380040169,-0.041344311
-0.390040398,-0.040571835
-0.400040627,-0.039785054
-0.410040855,-0.039045956
-0.420041084,-0.038378384
-0.430040359,-0.037739422
-0.440040588,-0.037162449
-0.450040817,-0.036566403
-0.460041046,-0.036041882
-0.470041275,-0.035526898
-0.48004055,-0.035073902
-0.489962578,-0.03461137
0.589494705,0.011299891
0.599494934,0.011594577
