X,Y
-0.499962807,-0.036823895
-0.489962578,-0.03604665
-0.48004055,-0.035312321
-0.470041275,-0.034620907
-0.460041046,-0.033972409
-0.450040817,-0.033338215
-0.440040588,-0.032732632
-0.430040359,-0.032174733
-0.420041084,-0.031607296
-0.410040855,-0.031087494
-0.400040627,-0.030582046
-0.390040398,-0.030105209
-0.380040169,-0.029594993
-0.370040894,-0.029146766
-0.360040665,-0.028736686
-0.350040436,-0.028278923
-0.340118408,-0.027854538
-0.330118179,-0.027434921
-0.32011795,-0.027082061
-0.310118675,-0.026657676
-0.300118446,-0.026314354
-0.290118217,-0.025951957
-0.280117989,-0.025565719
-0.27011776,-0.02521286
-0.260118484,-0.024883842
-0.250118256,-0.024559593
-0.240118027,-0.024283027
-0.230117798,-0.023939705
-0.220117569,-0.023639297
-0.210118294,-0.023333875
-0.200196266,-0.023023454
-0.190196037,-0.022730198
-0.180195808,-0.02243885
-0.17019558,-0.02216753
-0.160196304,-0.021890964
-0.150196075,-0.021612009
-0.140195847,-0.021319708
-0.130195618,-0.021021208
-0.120195389,-0.020665487
-0.110196114,-0.020298319
-0.100195885,-0.019853907
-0.090195656,-0.019357037
-0.080195427,-0.018695187
-0.070195198,-0.017826863
-0.060195923,-0.016714873
-0.050273895,-0.015217123
-0.040273666,-0.012993622
-0.030273438,-0.010233202
-0.020273209,-0.006403232
-0.01027298,-0.001340632
-0.000273705,0.005195398
0.009726524,0.013202958
0.019726753,0.022741165
0.029726982,0.033828154
0.039727211,0.046343744
0.049726486,0.060809601
0.059726715,0.07644444
0.069726944,0.090778209
0.079727173,0.108464196
0.0896492,0.126436234
0.099648476,0.144184217
0.109648705,0.159223706
0.119648933,0.178883746
0.129649162,0.193303391
0.139649391,0.213507086
0.149648666,0.22605744
0.159648895,0.239313602
0.169649124,0.248239994
0.179649353,0.255831242
0.189649582,0.247210026
0.199648857,0.251315594
0.209649086,0.243147373
0.219649315,0.233643919
0.229571342,0.222371489
0.239571571,0.211408898
0.249570847,0.201724336
0.259571075,0.192893311
0.269571304,0.184930041
0.279571533,0.177257732
0.289571762,0.171569064
0.299571037,0.166161686
0.309571266,0.161183506
0.319571495,0.156863362
0.329571724,0.153091535
0.339571953,0.149586782
0.349571228,0.145948514
0.359571457,0.14312081
0.369493484,0.140460059
0.379493713,0.137637183
0.389493942,0.135481879
0.399494171,0.133035704
0.409493446,0.131080627
0.419493675,0.129173279
0.429493904,0.127161026
0.439494133,0.125425339
0.449494362,0.123589516
0.459493637,0.122130394
0.469493866,0.12059021
0.479494095,0.119283676
0.489494324,0.117924646
0.499494553,0.116613343
0.489494324,0.11513038
0.479494095,0.113914445
0.469493866,0.112650827
0.459493637,0.111387208
0.449494362,0.110290483
0.439494133,0.109217599
0.429493904,0.108244851
0.419493675,0.107286409
0.409493446,0.106285051
0.399494171,0.105355166
0.389493942,0.104492091
0.379493713,0.103738688
0.369493484,0.102732562
0.359571457,0.102026843
0.349571228,0.101192378
0.339571953,0.100396059
0.329571724,0.099499606
0.319571495,0.098836802
0.309571266,0.09816923
0.299571037,0.097248934
0.289571762,0.0965003
0.279571533,0.09568014
0.269571304,0.094950579
0.259571075,0.094006442
0.249570847,0.093038417
0.239571571,0.091722347
0.229571342,0.089829303
0.219649315,0.087483265
0.209649086,0.08521352
0.199648857,0.082009174
0.189649582,0.077679448
0.179649353,0.071227841
0.169649124,0.064637899
0.159648895,0.056212138
0.149648666,0.047366809
0.139649391,0.036423352
0.129649162,0.024101829
0.119648933,0.011374998
0.109648705,-0.002925396
0.099648476,-0.017664481
0.0896492,-0.033390667
0.079727173,-0.048692416
0.069726944,-0.064552069
0.059726715,-0.081742145
0.049726486,-0.095374964
0.039727211,-0.114448503
0.029726982,-0.127122879
0.019726753,-0.138371512
0.009726524,-0.152891263
-0.000273705,-0.159834057
-0.01027298,-0.163295895
-0.020273209,-0.17020531
-0.030273438,-0.172455981
-0.040273666,-0.165589482
-0.050273895,-0.156882435
-0.060195923,-0.147493467
-0.070195198,-0.136082694
-0.080195427,-0.127428055
-0.090195656,-0.118668512
-0.100195885,-0.11161609
-0.110196114,-0.104968928
-0.120195389,-0.099590205
-0.130195618,-0.094559573
-0.140195847,-0.090201236
-0.150196075,-0.085981227
-0.160196304,-0.082438327
-0.17019558,-0.079300694
-0.180195808,-0.076320462
-0.190196037,-0.073654942
-0.200196266,-0.071122937
-0.210118294,-0.068819813
-0.220117569,-0.066511869
-0.230117798,-0.064528227
-0.240118027,-0.062635183
-0.250118256,-0.060889959
-0.260118484,-0.059268713
-0.27011776,-0.057752371
-0.280117989,-0.056255102
-0.290118217,-0.054905605
-0.300118446,-0.053551387
-0.310118675,-0.052297305
-0.32011795,-0.051191043
-0.330118179,-0.050037097
-0.340118408,-0.048935603
-0.350040436,-0.048029613
-0.360040665,-0.046975803
-0.370040894,-0.046050739
-0.380040169,-0.045187663
-0.390040398,-0.044424724
-0.400040627,-0.043571141
-0.410040855,-0.042889263
-0.420041084,-0.042102482
-0.430040359,-0.041430142
-0.440040588,-0.040805485
-0.450040817,-0.04017606
-0.460041046,-0.039665844
-0.470041275,-0.039079335
-0.48004055,-0.038583424
-0.489962578,-0.038030293
